date,time,phase,sector,signal_level,drawdown,threshold,overall,judge_status,trust_score
2026-06-27,2026-06-27 15:12:00,pre,电子,-2,2.3,25.0,偏多,偏低,0.5
2026-06-27,2026-06-27 15:12:00,pre,计算机,4,57.6,25.0,偏多,偏低,0.5
2026-06-27,2026-06-27 15:12:00,pre,通信,-2,7.1,20.0,偏多,偏低,0.5
2026-06-27,2026-06-27 15:12:00,pre,传媒,4,75.5,25.0,偏多,偏低,0.5
2026-06-27,2026-06-27 15:12:00,pre,医药生物,4,48.7,30.0,偏多,偏低,0.5
2026-06-27,2026-06-27 15:12:00,pre,食品饮料,4,61.9,25.0,偏多,偏低,0.5
2026-06-27,2026-06-27 15:12:00,pre,家用电器,3,24.0,18.0,偏多,偏低,0.5
2026-06-27,2026-06-27 15:12:00,pre,电力设备,1,24.2,25.0,偏多,偏低,0.5
2026-06-27,2026-06-27 15:12:00,pre,汽车,1,23.3,25.0,偏多,偏低,0.5
2026-06-27,2026-06-27 15:12:00,pre,国防军工,4,46.8,25.0,偏多,偏低,0.5
2026-06-27,2026-06-27 15:12:00,pre,银行,2,20.5,20.0,偏多,偏低,0.5
2026-06-27,2026-06-27 15:12:00,pre,非银金融,4,42.7,20.0,偏多,偏低,0.5
2026-06-27,2026-06-27 15:12:00,pre,公用事业,4,52.6,15.0,偏多,偏低,0.5
2026-06-27,2026-06-27 15:12:00,pre,煤炭,2,23.5,20.0,偏多,偏低,0.5
2026-06-27,2026-06-27 15:12:00,pre,石油石化,4,33.7,20.0,偏多,偏低,0.5
2026-06-27,2026-06-27 16:45:02,pre,电子,-2,2.3,25.0,偏多,偏低,0.5
2026-06-27,2026-06-27 16:45:02,pre,计算机,4,57.6,25.0,偏多,偏低,0.5
2026-06-27,2026-06-27 16:45:02,pre,通信,-2,7.1,20.0,偏多,偏低,0.5
2026-06-27,2026-06-27 16:45:02,pre,传媒,4,75.5,25.0,偏多,偏低,0.5
2026-06-27,2026-06-27 16:45:02,pre,医药生物,4,48.7,30.0,偏多,偏低,0.5
2026-06-27,2026-06-27 16:45:02,pre,食品饮料,4,61.9,25.0,偏多,偏低,0.5
2026-06-27,2026-06-27 16:45:02,pre,家用电器,3,24.0,18.0,偏多,偏低,0.5
2026-06-27,2026-06-27 16:45:02,pre,电力设备,1,24.2,25.0,偏多,偏低,0.5
2026-06-27,2026-06-27 16:45:02,pre,汽车,1,23.3,25.0,偏多,偏低,0.5
2026-06-27,2026-06-27 16:45:02,pre,国防军工,4,46.8,25.0,偏多,偏低,0.5
2026-06-27,2026-06-27 16:45:02,pre,银行,2,20.5,20.0,偏多,偏低,0.5
2026-06-27,2026-06-27 16:45:02,pre,非银金融,4,42.7,20.0,偏多,偏低,0.5
2026-06-27,2026-06-27 16:45:02,pre,公用事业,4,52.6,15.0,偏多,偏低,0.5
2026-06-27,2026-06-27 16:45:02,pre,煤炭,2,23.5,20.0,偏多,偏低,0.5
2026-06-27,2026-06-27 16:45:02,pre,石油石化,4,33.7,20.0,偏多,偏低,0.5
2026-06-27,2026-06-27 17:04:36,pre,电子,-2,2.3,25.0,偏多,偏低,0.5
2026-06-27,2026-06-27 17:04:36,pre,计算机,4,57.6,25.0,偏多,偏低,0.5
2026-06-27,2026-06-27 17:04:36,pre,通信,-2,7.1,20.0,偏多,偏低,0.5
2026-06-27,2026-06-27 17:04:36,pre,传媒,4,75.5,25.0,偏多,偏低,0.5
2026-06-27,2026-06-27 17:04:36,pre,医药生物,4,48.7,30.0,偏多,偏低,0.5
2026-06-27,2026-06-27 17:04:36,pre,食品饮料,4,61.9,25.0,偏多,偏低,0.5
2026-06-27,2026-06-27 17:04:36,pre,家用电器,3,24.0,18.0,偏多,偏低,0.5
2026-06-27,2026-06-27 17:04:36,pre,电力设备,1,24.2,25.0,偏多,偏低,0.5
2026-06-27,2026-06-27 17:04:36,pre,汽车,1,23.3,25.0,偏多,偏低,0.5
2026-06-27,2026-06-27 17:04:36,pre,国防军工,4,46.8,25.0,偏多,偏低,0.5
2026-06-27,2026-06-27 17:04:36,pre,银行,2,20.5,20.0,偏多,偏低,0.5
2026-06-27,2026-06-27 17:04:36,pre,非银金融,4,42.7,20.0,偏多,偏低,0.5
2026-06-27,2026-06-27 17:04:36,pre,公用事业,4,52.6,15.0,偏多,偏低,0.5
2026-06-27,2026-06-27 17:04:36,pre,煤炭,2,23.5,20.0,偏多,偏低,0.5
2026-06-27,2026-06-27 17:04:36,pre,石油石化,4,33.7,20.0,偏多,偏低,0.5
